hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
rephetio-v2.0_perm-1	CbGaDaGuD	0.42675	0.57488	0.23488	dwpc	1
rephetio-v2.0_perm-2	CbGaDaGuD	0.45325	0.57874	0.24454	dwpc	1
rephetio-v2.0_perm-3	CbGaDaGuD	0.43285	0.57956	0.24589	dwpc	1
rephetio-v2.0_perm-4	CbGaDaGuD	0.44106	0.57829	0.24416	dwpc	1
rephetio-v2.0_perm-5	CbGaDaGuD	0.4453	0.58323	0.24192	dwpc	1
rephetio-v2.0	CbGaDdGaD	0.90517	0.65723	0.32314	dwpc	0
rephetio-v2.0_perm-1	CbGaDdGaD	0.90384	0.62938	0.30561	dwpc	1
rephetio-v2.0_perm-2	CbGaDdGaD	0.92132	0.63258	0.32251	dwpc	1
rephetio-v2.0_perm-3	CbGaDdGaD	0.90146	0.62333	0.30116	dwpc	1
rephetio-v2.0_perm-4	CbGaDdGaD	0.90834	0.62291	0.30263	dwpc	1
rephetio-v2.0_perm-5	CbGaDdGaD	0.92238	0.64012	0.31517	dwpc	1
rephetio-v2.0	CbGaDdGdD	0.41589	0.57885	0.26847	dwpc	0
rephetio-v2.0_perm-1	CbGaDdGdD	0.41616	0.56726	0.23179	dwpc	1
rephetio-v2.0_perm-2	CbGaDdGdD	0.42781	0.56665	0.24216	dwpc	1
rephetio-v2.0_perm-3	CbGaDdGdD	0.41987	0.57631	0.24913	dwpc	1
rephetio-v2.0_perm-4	CbGaDdGdD	0.42278	0.56703	0.23723	dwpc	1
rephetio-v2.0_perm-5	CbGaDdGdD	0.4302	0.57309	0.23764	dwpc	1
rephetio-v2.0	CbGaDdGuD	0.40954	0.57346	0.24936	dwpc	0
rephetio-v2.0_perm-1	CbGaDdGuD	0.42781	0.59215	0.24736	dwpc	1
rephetio-v2.0_perm-2	CbGaDdGuD	0.43046	0.56772	0.24046	dwpc	1
rephetio-v2.0_perm-3	CbGaDdGuD	0.41801	0.578	0.24962	dwpc	1
rephetio-v2.0_perm-4	CbGaDdGuD	0.40636	0.57186	0.24486	dwpc	1
rephetio-v2.0_perm-5	CbGaDdGuD	0.41563	0.57493	0.24588	dwpc	1
rephetio-v2.0	CbGaDlAlD	0.95868	0.64388	0.29819	dwpc	0
rephetio-v2.0_perm-1	CbGaDlAlD	0.94993	0.55748	0.22705	dwpc	1
rephetio-v2.0_perm-2	CbGaDlAlD	0.95629	0.57663	0.25002	dwpc	1
rephetio-v2.0_perm-3	CbGaDlAlD	0.95603	0.56457	0.236	dwpc	1
