hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
rephetio-v2.0_perm-4	CpDpCuGuD	0.058664	0.522	0.14731	dwpc	1
rephetio-v2.0_perm-5	CpDpCuGuD	0.051055	0.51733	0.1431	dwpc	1
rephetio-v2.0	CpDpSpD	0.12927	0.53325	0.26415	dwpc	0
rephetio-v2.0_perm-1	CpDpSpD	0.14318	0.52911	0.13344	dwpc	1
rephetio-v2.0_perm-2	CpDpSpD	0.13649	0.52778	0.13218	dwpc	1
rephetio-v2.0_perm-3	CpDpSpD	0.14482	0.52452	0.12536	dwpc	1
rephetio-v2.0_perm-4	CpDpSpD	0.14638	0.52463	0.12758	dwpc	1
rephetio-v2.0_perm-5	CpDpSpD	0.14204	0.52742	0.13739	dwpc	1
rephetio-v2.0	CpDpSpDrD	0.14675	0.53237	0.24714	dwpc	0
rephetio-v2.0_perm-1	CpDpSpDrD	0.14504	0.52435	0.12804	dwpc	1
rephetio-v2.0_perm-2	CpDpSpDrD	0.14278	0.52713	0.12841	dwpc	1
rephetio-v2.0_perm-3	CpDpSpDrD	0.1471	0.52762	0.13058	dwpc	1
rephetio-v2.0_perm-4	CpDpSpDrD	0.1468	0.52479	0.12801	dwpc	1
rephetio-v2.0_perm-5	CpDpSpDrD	0.14803	0.52529	0.13054	dwpc	1
rephetio-v2.0	CpDrD	0.01298	0.51258	0.36207	dwpc	0
rephetio-v2.0_perm-1	CpDrD	0.013562	0.49908	0.10108	dwpc	1
rephetio-v2.0_perm-2	CpDrD	0.012279	0.50276	0.12959	dwpc	1
rephetio-v2.0_perm-3	CpDrD	0.01576	0.50601	0.14557	dwpc	1
rephetio-v2.0_perm-4	CpDrD	0.012388	0.50196	0.12285	dwpc	1
rephetio-v2.0_perm-5	CpDrD	0.011409	0.5018	0.12445	dwpc	1
rephetio-v2.0	CpDrDaGaD	0.14887	0.53311	0.25871	dwpc	0
rephetio-v2.0_perm-1	CpDrDaGaD	0.14632	0.52761	0.13739	dwpc	1
rephetio-v2.0_perm-2	CpDrDaGaD	0.1442	0.53209	0.14737	dwpc	1
rephetio-v2.0_perm-3	CpDrDaGaD	0.15263	0.52786	0.1382	dwpc	1
rephetio-v2.0_perm-4	CpDrDaGaD	0.14894	0.5272	0.14548	dwpc	1
rephetio-v2.0_perm-5	CpDrDaGaD	0.1506	0.52668	0.13759	dwpc	1
rephetio-v2.0	CpDrDaGdD	0.060662	0.52026	0.26048	dwpc	0
rephetio-v2.0_perm-1	CpDrDaGdD	0.058958	0.51874	0.13988	dwpc	1
rephetio-v2.0_perm-2	CpDrDaGdD	0.054683	0.52199	0.14916	dwpc	1
rephetio-v2.0_perm-3	CpDrDaGdD	0.060344	0.5256	0.15365	dwpc	1
rephetio-v2.0_perm-4	CpDrDaGdD	0.062936	0.52264	0.14868	dwpc	1
